O,D,weight
2300507,2304350,430.0
2300507,2304400,888.0
2300507,2304509,87.0
2300507,2305001,7.0
2300507,2305209,1.0
2300507,2306256,88.0
2300507,2306405,166.0
2300507,2306900,8.0
2300507,2307601,19.0
2300507,2307650,1173.0
2300507,2308203,73.0
2300507,2308708,231.0
2300507,2308807,72.0
2300507,2309003,11.0
2300507,2310407,3.0
2300507,2311306,39.0
2300507,2312007,30.0
2300507,2312908,2721.0
2300507,2313401,115.0
2300507,2313906,83.0
2300507,2314003,3.0
2300606,2300804,3.0
2300606,2301000,68.0
2300606,2301307,6.0
2300606,2301604,427.0
2300606,2301901,211.0
2300606,2302701,3.0
2300606,2303709,14.0
2300606,2304202,437.0
2300606,2304301,508.0
2300606,2304400,348.0
2300606,2305506,51.0
2300606,2307106,1.0
2300606,2307304,1525.0
2300606,2307650,365.0
2300606,2309201,83.0
2300606,2311207,4.0
2300606,2312106,55.0
2300606,2313252,4.0
2300606,2314003,7.0
2300705,2300101,49.0
2300705,2300200,3.0
2300705,2301000,470.0
2300705,2301109,230.0
2300705,2301901,94.0
2300705,2302206,13.0
2300705,2302404,180.0
2300705,2302602,4.0
2300705,2302909,10.0
2300705,2303303,39.0
2300705,2303501,96.0
2300705,2303709,193.0
2300705,2304202,76.0
2300705,2304277,121.0
2300705,2304285,522.0
2300705,2304350,64.0
2300705,2304400,3636.0
2300705,2304657,27.0
2300705,2305233,92.0
2300705,2305357,11.0
2300705,2305506,146.0
2300705,2306009,979.0
2300705,2306256,178.0
2300705,2306405,26.0
2300705,2306504,19.0
2300705,2306553,8.0
2300705,2306702,105.0
2300705,2306801,457.0
2300705,2306900,480.0
2300705,2307007,145.0
2300705,2307304,421.0
2300705,2307601,892.0
2300705,2307635,3.0
2300705,2307650,1191.0
2300705,2307700,68.0
2300705,2308302,16.0
2300705,2308708,772.0
2300705,2309409,19.0
2300705,2309458,1.0
2300705,2309607,139.0
2300705,2309706,28.0
2300705,2310001,1.0
2300705,2310258,4.0
2300705,2310803,709.0
2300705,2311231,530.0
2300705,2311306,130.0
2300705,2311504,101.0
2300705,2311801,838.0
2300705,2312007,35.0
2300705,2312403,28.0
2300705,2312502,13.0
2300705,2312908,141.0
2300705,2313104,223.0
2300705,2313302,35.0
2300705,2313401,8.0
2300754,2300101,3.0
2300754,2300200,1881.0
2300754,2300705,10.0
2300754,2300903,92.0
2300754,2301000,1587.0
2300754,2301109,38.0
2300754,2302057,30.0
2300754,2302107,11.0
2300754,2302206,128.0
2300754,2302305,855.0
2300754,2302602,169.0
2300754,2302800,16.0
2300754,2303006,181.0
2300754,2303501,278.0
2300754,2303709,948.0
2300754,2303907,33.0
2300754,2303956,3.0
2300754,2304103,6.0
2300754,2304202,36.0
2300754,2304251,709.0
