origin,ncm,export
2300101,6910,4003.261734982261
2300101,6914,1034.7940159708885
2300101,7009,440.7285959769534
2300101,7010,79.3311472758516
2300101,7013,537.7126083445387
2300101,7204,232925.06297381988
2300101,7209,102.93690303076924
2300101,7213,9464.527872459812
2300101,7214,39500.17481722099
2300101,7217,1371.069934701304
2300101,7307,917.0293082150658
2300101,7308,14113.547165695085
2300101,7311,189098.90133873152
2300101,7313,742.3942338191024
2300101,7314,4209.7391369259185
2300101,7315,538.9342919576602
2300101,7317,631.7109875669665
2300101,7318,138.58025697956577
2300101,7321,1531.479530448639
2300101,7323,1284.2878411848749
2300101,7324,855.9141361129298
2300101,7326,647.3654930591418
2300101,7610,87.99146418679875
2300101,7615,124.9098295764682
2300101,7616,809.9123274569772
2300101,8201,509.8496686882883
2300101,8202,1497.5181482305438
2300101,8203,337.1742497368129
2300101,8212,985.3442675022744
2300101,8213,203.516818409579
2300101,8301,4279.672687681143
2300101,8311,243.17766832235887
2300101,8409,896.0792604751189
2300101,8413,2552.870107248894
2300101,8414,16218.983441204793
2300101,8415,3929.3444481313204
2300101,8418,37399.32953921399
2300101,8421,749.2861382902656
2300101,8429,268676.0084297704
2300101,8430,9820.78188316454
2300101,8431,2682.0653245714575
2300101,8443,1200.5575324046056
2300101,8450,5378.682112876681
2300101,8467,1393.4694071030706
2300101,8470,830.9892362677689
2300101,8471,1039.5910530446452
2300101,8474,135.27129982311493
2300101,8479,153.42814165594783
2300101,8481,1944.0831878850609
2300101,8483,335.1450388310407
2300101,8501,1549.3887246335792
2300101,8504,2237.7521526980563
2300101,8507,10121.60011933099
2300101,8509,809.1950422914313
2300101,8511,203.35238627496386
2300101,8512,401.3127685434145
2300101,8516,2660.405486392966
2300101,8517,2194.8480009143595
2300101,8518,2183.09871284643
2300101,8521,716.6599498373793
2300101,8527,3664.9749357965998
2300101,8528,3436.7033477066934
2300101,8529,106.5094106944304
2300101,8535,632.2618983119377
2300101,8536,1275.2901418504998
2300101,8537,304.67429747619667
2300101,8538,802.4221104393328
2300101,8539,2463.7233033557177
2300101,8542,257.0916809865561
2300101,8544,6985.783963738425
2300101,8546,424.56854745779845
2300101,8703,62926.749342762014
2300101,8708,3019.692195698348
2300101,8712,1077.98541837663
2300101,8714,1098.4407464060932
2300101,8716,1993.229121249961
2300101,9017,81.09406165975943
2300101,9018,523.4939911615842
2300101,9028,921.0272743960376
2300101,9032,401.47247959020194
2300101,9401,5645.504491981677
2300101,9403,59042.340735718506
2300101,9404,12073.191391837267
2300101,9405,7341.037046677649
2300101,9603,2896.8376698554684
2300101,9608,647.2801794717726
2300101,9609,171.87879185058435
2300101,9613,165.90036478410875
2300101,9616,107.97850601435358
2300101,9617,319.3567881251545
2300101,9619,8320.789225966148
2300150,101,689.1966874355604
2300150,102,209831.61919786362
2300150,201,9826430.563676305
2300150,202,562068.3554317539
2300150,203,569715.8852243499
2300150,206,137665.35637335738
2300150,207,44971.04646820224
2300150,210,28200.66700082648
2300150,301,36077.20726909289
2300150,302,4315.915642855898
2300150,303,491.26547498231076
2300150,304,5844.596802726961
2300150,401,49300.647401447924
2300150,402,108228.89148613809
2300150,403,26588.29781414417
2300150,405,4905.284751030502
2300150,406,23273.50133932287
2300150,407,11673.298858441553
2300150,504,14554.632009100082
2300150,506,34167.55441935184
2300150,703,5817.2977892007275
2300150,705,10162.931744196561
2300150,713,21698.48537317428
2300150,714,27638.720635165802
2300150,801,4921.469321742647
2300150,804,198.32786818962902
2300150,805,58993.66429395682
2300150,806,87.45404074389026
2300150,808,330.54644698271505
2300150,811,184.11376998713737
2300150,813,1093.9072979005357
2300150,901,33210.93842034259
2300150,902,82.85697604366723
2300150,1005,339.97980672061277
2300150,1006,246479.24760174236
2300150,1101,6927.270192605613
2300150,1102,2846.224094682159
2300150,1104,8950.552820493866
2300150,1106,9704.197199596942
2300150,1108,5857.9719204191315
2300150,1204,110.72279715816327
2300150,1211,400.62229374305065
2300150,1507,12260.988594711438
2300150,1509,1120.8376498936939
2300150,1512,135.72380678468087
2300150,1516,485.3760932183209
2300150,1517,50993.18010642501
2300150,1601,175113.8154066774
2300150,1602,22630.2105806709
2300150,1604,1695.1793760004423
2300150,1701,30874.04360056969
2300150,1703,174.89579783685434
2300150,1704,4546.432539039786
2300150,1802,228.96585108662694
2300150,1806,10597.209272177604
2300150,1901,13184.454821794552
2300150,1902,40583.146564745
2300150,1904,825072.2667376111
2300150,1905,298165.42791944207
2300150,2002,79.638986624862
2300150,2004,7707.395527084433
2300150,2005,7959.636119674784
2300150,2007,8437.336756266232
2300150,2008,1456.0297060754233
2300150,2009,774.3101154520493
2300150,2101,31557.46546880493
2300150,2102,703.1958182734537
2300150,2103,7701.34215252326
2300150,2104,1236.7379700110914
2300150,2105,7668.630038725081
2300150,2106,9479.396365885226
2300150,2201,3165.3706662972527
2300150,2202,54181.03523171522
2300150,2203,54997.07672224484
2300150,2204,5220.502211429882
2300150,2206,1567.7377123578938
2300150,2207,2671.057514893176
2300150,2208,28784.65578384579
2300150,2209,272.479895075434
2300150,2303,33793.07881323284
2300150,2309,728.4884140458729
2300150,2402,6096.393969566345
2300150,2403,75.59694426660803
2300150,2501,334.60768681418114
2300150,2505,61093.77016234299
2300150,2507,12174.388702395247
2300150,2515,5178.2460877194735
2300150,2517,420288.3482261024
2300150,2518,31148626.225847896
2300150,2519,113.31671403651393
2300150,2520,1084.5880759587164
2300150,2521,623202.0246085906
2300150,2522,34667368.996506274
2300150,2523,86743.36375451839
2300150,2530,263645.35581393726
2300150,2710,4888840.657757697
2300150,2711,11503.976635202196
2300150,2814,1279.3361662447242
2300150,2821,19125.195528019107
2300150,2828,3433.4389934091337
2300150,2834,5278.274523607055
2300150,2835,6437.795330934649
2300150,2836,39070.48864240727
2300150,2839,56853.738256640965
2300150,2902,90942.30378386163
2300150,2905,244.35375924560174
2300150,2915,1632.2067512108551
2300150,2922,710.5985493478214
2300150,2928,8889.709054402045
2300150,3002,929.6967638010248
2300150,3003,135.73831452053884
2300150,3004,16749.367776634706
2300150,3005,70.88097327653811
2300150,3006,3990.0478527805953
2300150,3102,1277.6816876664986
2300150,3204,214111.34267823226
2300150,3208,7001454.247162364
2300150,3209,9691635.729504941
2300150,3210,272.9889654071957
2300150,3211,97651.9751955804
2300150,3212,895.4253506524205
2300150,3213,537.9522137693439
2300150,3214,3047596.977354673
2300150,3215,441.19428752678084
2300150,3303,140.28391209946426
2300150,3304,2852.8870850616013
2300150,3305,6386.0586294383875
2300150,3306,12823.313901162881
2300150,3307,19618.584826342423
2300150,3401,11381.989252281362
2300150,3402,54571.31894093153
2300150,3403,73.30612777368052
2300150,3405,1306.0199361345651
2300150,3406,759.2127812526284
2300150,3505,449.33854339278986
2300150,3506,2829.989749138376
2300150,3507,107.47040337190816
2300150,3802,8513.070031310019
2300150,3808,15014.723403634898
2300150,3809,63423.96639560096
2300150,3811,32072.09824760282
2300150,3814,213.25804648049302
2300150,3824,4073.316086817816
2300150,3825,1992.7802250415066
2300150,3906,584383.650877119
2300150,3907,43819.89417471456
2300150,3910,126.9147197208956
2300150,3911,115247.78192876728
2300150,3912,61765.07912736698
2300150,3915,27900.81464639932
2300150,3916,4246.107071584541
2300150,3917,30586.159759650145
2300150,3918,222.7182701457307
2300150,3920,29843.105701194556
2300150,3922,2783.7100011621183
2300150,3923,843084.2144849662
2300150,3924,2325527.862987653
2300150,3925,31512.054086768578
2300150,3926,3265.1455662965027
2300150,4005,94.02210047508339
2300150,4006,918.1845749519863
2300150,4009,4830.343501985074
2300150,4010,3099.4591726682115
